Symbol,Type,Expiry,Strike,P/C,Exchange,Currency,Bid,Ask,Last
BWMX,STK,null,0,,SMART,USD,16.72,22,C18.90
AMZN,OPT,202612,190,P,SMART,USD,16.05,16.25,C16.15
AMZN,OPT,202612,210,P,SMART,USD,24.95,25.2,C25.08
COIN,OPT,202806,165,P,SMART,USD,52.15,61.85,C56.30
CRM,OPT,202801,185,C,SMART,USD,52,54.5,C52.95
HIMS,OPT,202801,15,P,SMART,USD,5.75,6,C5.89
HIMS,OPT,202801,28,C,SMART,USD,8,8.75,C8.24
HOOD,OPT,202603,65,P,SMART,USD,1.35,1.5,C1.42
HOOD,OPT,202603,70,P,SMART,USD,2.2,2.31,C2.26
HOOD,OPT,202603,75,P,SMART,USD,3.4,3.55,C3.47
HOOD,OPT,202801,70,P,SMART,USD,18.15,18.7,C18.38
HOOD,OPT,202801,100,C,SMART,USD,28.6,29.7,C29.15
MARA,OPT,202801,8,P,SMART,USD,3.35,3.95,C3.67
MARA,OPT,202801,13,C,SMART,USD,3.1,3.35,C3.26
META,OPT,202603,510,P,SMART,USD,1.19,1.22,C1.19
META,OPT,202603,630,P,SMART,USD,10.4,10.6,C10.50
META,OPT,202606,750,C,SMART,USD,30.6,30.85,C30.74
MSFT,OPT,202602,510,C,SMART,USD,0.05,0.06,C0.07
MSFT,OPT,202603,390,P,SMART,USD,5.8,5.95,C5.87
MSFT,OPT,202603,445,C,SMART,USD,4.25,4.4,C4.32
MSFT,OPT,202603,500,C,SMART,USD,0.56,0.59,C0.58
MSFT,OPT,202706,390,C,SMART,USD,76.85,79.5,C78.04
MSFT,OPT,202812,350,C,SMART,USD,130,133,C131.80
NFLX,OPT,202806,70,P,SMART,USD,10.35,11.85,C10.54
NFLX,OPT,202806,115,C,SMART,USD,10.2,13.2,C11.78
NVDA,OPT,202609,150,C,SMART,USD,53.05,53.6,C53.39
ORCL,OPT,202801,100,P,SMART,USD,14.45,17,C15.27
ORCL,OPT,202801,180,C,SMART,USD,40.7,42.5,C41.60
PLTR,OPT,202605,135,P,SMART,USD,11.8,11.95,C11.87
PLTR,OPT,202605,140,P,SMART,USD,14.1,14.2,C14.15
RIVN,OPT,202812,10,P,SMART,USD,2.7,3.55,C3.20
RIVN,OPT,202812,17,C,SMART,USD,6.85,7.2,C7.11
SOFI,OPT,202801,15,P,SMART,USD,3.05,3.6,C3.33
SOFI,OPT,202806,15,P,SMART,USD,3.4,3.85,C3.57
SOFI,OPT,202806,20,P,SMART,USD,6,6.4,C6.05
SOFI,OPT,202806,25,C,SMART,USD,7.35,7.75,C7.58
MSFT,BAG,null,0,,SMART,USD,,,M0.00
NFLX,BAG,null,0,,SMART,USD,,,M0.00
NVDA,BAG,null,0,,SMART,USD,,,M182.01
